id,energy,danceability,valence,tempo
42UBPzRMh5yyz0EDPr6fr1,0.98,0.5,0.5,120
3QPH2xNhL7Ukcx1XYAdUwc,0.13,0.5,0.7,120
79wtSYxeg5ACV5afy4KRpB,0.57,0.5,0.7,120
3ISKxnCGKc5B9zr9CTUB3v,0.67,0.5,0.7,120
2VbhYoAVNbADZEPmbRhw5E,0.61,0.8,0.7,128
17wMOhLqVB3DRCmTaLjwVM,0.65,0.5,0.5,120
4aR9bPMAOFySBuQSbVWF3d,0.72,0.5,0.5,120
1qfanYrmrh7xDSvt15acZ3,0.65,0.8,0.7,128
29m79w9xPMH4YCD6r8JSmV,0.77,0.5,0.7,120
42klh3NhK69sw8bUVLkJU7,0.6,0.5,0.5,120
2kDCcsW1rSwBHvkOuFWp6I,0.63,0.5,0.7,120
1a19jsjG2DvbN1fVJonKUU,0.8,0.5,0.7,120
09LrGvT9KsACH66RHYMDyR,0.79,0.5,0.5,120
4qyalTRMRH5YuEntvvMvq0,0.49,0.5,0.5,120
59GU2OeltZirxzBLa7m5GC,0.65,0.5,0.7,120
3GJTkh9w9IBLS0vszvekyL,0.5,0.5,0.5,120
1VDDoa82Oktn7FDPKBcsw8,0.64,0.5,0.7,120
09Z6o1yu596HJAwWZxTz4m,0.69,0.5,0.7,120
2qLyo5FeWquE7HBUbcVnEy,0.72,0.5,0.5,120
3dYD57lRAUcMHufyqn9GcI,0.86,0.5,0.5,120
7IIhqqpytErf6d4xMQ7JEB,0.5,0.5,0.7,120
3B5pWnmR739mZFh4eVdFla,0.55,0.5,0.7,120
3fo6DYGktjENCiagUeU9yH,0.71,0.5,0.5,120
3WSOUb3U7tqURbBSgZTrZX,0.84,0.5,0.5,120
7qma5iUVCWjcUDnjbElqIh,0.51,0.5,0.7,120
1cSFlSBdpT4F5vb1frQ231,0.66,0.5,0.5,120
3yfqSUWxFvZELEM4PmlwIR,0.87,0.5,0.5,120
6Yqw4HtJuFXleJtgzYXWzT,0.65,0.5,0.7,120
7EqpEBPOohgk7NnKvBGFWo,0.78,0.5,0.5,120
5BK0uqwY9DNfZ630STAEaq,0.67,0.5,0.5,120
5QhJorJmjqYfETfqgBtGg3,0.67,0.5,0.5,120
5AjYjRsiIPAKjRP182ocKB,0.6,0.8,0.7,128
6wNeKPXF0RDKyvfKfri5hf,0.74,0.5,0.5,120
5dwQhzeE8LXpl9sbZJZmQS,0.6,0.5,0.5,120
3FrzIfTz8mMS8Xowzu3ZUj,0.49,0.5,0.7,120
3SYPu5w0ZgV6Dl5OZzzLGw,0.23,0.5,0.3,120
3Uo7WG0vmLQ07WB4BDwy7D,0.7,0.5,0.5,120
3dP0pLbg9OfVwssDjp9aT0,0.77,0.5,0.5,120
4GBkffrtA51p17JH35irGA,0.52,0.5,0.5,120
2MwCoo4GeXpi8soWn9EiPo,0.69,0.8,0.7,128
5hc71nKsUgtwQ3z52KEKQk,0.75,0.5,0.5,120
7c9qf9V6PapwNsAHTjzVI9,0.42,0.5,0.7,120
0sci7ppTZFm4mjcH3nu8yO,0.68,0.5,0.7,120
3i5MzrkgxANrO371rHlkh6,0.34,0.5,0.5,120
3svSpGRGdpM6IgdFRYO5Nm,0.46,0.5,0.7,120
77sMIMlNaSURUAXq5coCxE,0.78,0.5,0.5,120
34sOdxWu9FljH84UXdRwu1,0.77,0.5,0.5,120
5d2Kn9oAAh9S2EbyCo1i52,0.5,0.5,0.5,120
4XHQyvbrBsQaaBUW1VvmsL,0.73,0.5,0.5,120
5JVbvCHX10U2pLa5DEqGav,0.88,0.5,0.5,120
